Symbol,LTP,High,Low,PreviousClose,Change,Last 10D avg Volume,Delivery %,Symbol P/E,3 months high,3 months low
MEDICO,47.43,0.0,0.0,0.0,47.43,63585.4,0,0.0,47.43,36.68
MEP,0.0,0.0,0.0,0.0,0.0,510928.0,0,0.0,9.34,6.29
MAXESTATES,585.0,597.95,565.2,577.85,7.15,342116.4,53.59,0.0,684.35,456.3
MAXIND,249.9,249.9,242.0,242.35,7.55,69736.4,61.51,0.0,329.6,241.65
MBECL,4.97,5.17,4.75,5.0,-0.03,186908.3,0,0.0,6.53,4.39
MBLINFRA,64.26,0.0,0.0,0.0,64.26,38982.1,0,0.0,79.88,50.84
MCLEODRUSS,25.41,26.0,25.02,25.44,-0.03,644747.1,53.74,0.0,33.64,25.35
KBCGLOBAL,1.93,1.98,1.92,1.96,-0.03,8871678.3,0,0.0,2.19,1.65
JPASSOCIAT,0.0,0.0,0.0,0.0,0.0,8996388.5,0,0.0,10.84,6.91
JSFB,575.0,590.0,575.0,581.5,-6.5,181794.3,74.05,0.0,736.2,550.6
JGCHEM,429.15,440.5,428.35,431.2,-2.05,457761.8,14.41,0.0,440.1,236.11
JHS,32.1,32.35,30.7,30.81,1.29,350071.1,0,0.0,31.92,20.09
JAYSREETEA,139.31,144.4,134.16,136.12,3.19,275968.4,34.38,0.0,141.43,111.03
JETAIRWAYS,39.8,40.7,39.65,40.21,-0.41,35799.9,0,0.0,44.87,37.93
KOLTEPATIL,429.5,432.0,415.05,420.3,9.2,280093.9,58.76,0.0,461.35,351.75
KREBSBIO,92.44,0.0,0.0,0.0,92.44,13649.9,0,0.0,110.88,70.51
KRIDHANINF,4.75,4.75,4.72,4.53,0.22,121202.0,65.78,0.0,4.96,3.94
KIOCL,384.5,395.0,381.4,391.55,-7.05,47815.9,47.86,0.0,485.65,384.3
KIRIINDUS,359.8,371.5,357.65,366.55,-6.75,354550.3,53.87,0.0,406.4,317.2
KOHINOOR,47.6,50.91,47.5,50.91,-3.31,1312522.3,45.83,0.0,50.91,39.03
COFFEEDAY,35.2,36.0,34.4,35.46,-0.26,771734.5,0,0.0,57.07,35.0
COMSYN,68.0,68.05,65.1,66.07,1.93,124417.1,82.36,0.0,81.53,64.55
MCX,5810.0,5966.55,5660.15,5653.35,156.65,611304.0,15.58,0.0,"5,807.10","3,717.95"
KEEPLEARN,6.54,0.0,0.0,0.0,6.54,149365.0,0,0.0,6.54,2.76
KERNEX,861.0,885.35,830.0,843.2,17.8,223137.7,44.63,0.0,962.10,"1,006.70"
KESORAMIND,217.63,222.19,216.18,218.73,-1.1,612011.0,62.08,0.0,219.5,192.54
KHAICHEM,82.76,83.5,80.78,81.13,1.63,703160.7,23.41,0.0,96.92,70.38
KHAITANLTD,99.91,0.0,0.0,0.0,99.91,5316.5,0,0.0,127.58,74.06
KANORICHEM,161.49,169.9,159.1,168.06,-6.57,1105332.8,39.63,0.0,172.5,115.41
KANPRPLA,123.1,128.09,123.02,125.72,-2.62,20373.0,71.17,0.0,129.44,106.27
LORDSCHLO,142.75,149.9,142.25,145.52,-2.77,22675.7,33.49,0.0,151.46,120.4
LANCORHOL,43.0,43.89,41.33,42.77,0.23,98591.6,75.99,0.0,47.38,39.55
LASA,28.4,30.19,28.12,29.6,-1.2,133157.3,0,0.0,32.45,22.77
LAXMICOT,36.97,37.33,36.28,36.28,0.69,579462.7,26.5,0.0,41.48,28.83
LCCINFOTEC,8.55,0.0,0.0,0.0,8.55,378616.7,0,0.0,8.77,3.42
LEXUS,40.15,42.49,40.0,41.6,-1.45,60088.0,58.83,0.0,48.93,38.88
BLSE,245.9,254.51,243.01,250.2,-4.3,916381.7,44.13,0.0,278.94,206.74
BRNL,48.81,49.79,48.8,49.3,-0.49,80804.5,32.57,0.0,63.09,44.86
BROOKS,0.0,0.0,0.0,0.0,0.0,238597.5,0,0.0,160.3,82.38
NACLIND,55.45,56.52,55.0,56.29,-0.84,206508.1,63.21,0.0,78.22,54.45
NAGREEKCAP,0.0,0.0,0.0,0.0,0.0,4288.7,0,0.0,30.08,21.54
NAHARSPING,299.45,305.95,295.8,304.4,-4.95,53280.8,65.3,0.0,377.55,272.85
MTEDUCARE,0.0,0.0,0.0,0.0,0.0,106707.2,0,0.0,4.54,3.2
OMKARCHEM,9.06,9.06,8.5,8.63,0.43,41111.8,0,0.0,10.85,6.65
ONMOBILE,86.69,89.94,86.0,90.48,-3.79,1863002.0,42.81,0.0,91.25,69.25
NOIDATOLL,0.0,0.0,0.0,0.0,0.0,76872.4,0,0.0,14.68,11.58
NORBTEAEXP,25.11,25.11,25.11,23.92,1.19,15673.8,0,0.0,25.11,12.1
NOVAAGRI,71.26,71.99,70.0,70.77,0.49,179101.0,0,0.0,90.37,61.16
NSLNISP,51.9,52.65,51.8,52.41,-0.51,3225371.8,55.53,0.0,60.24,51.89
BLAL,254.05,261.15,253.85,258.4,-4.35,113094.7,70.97,0.0,339.15,254.9
BLBLIMITED,0.0,0.0,0.0,0.0,0.0,38812.6,0,0.0,21.65,17.22
BOROSCI,205.7,213.3,201.8,206.2,-0.5,491734.1,22.02,0.0,223.77,157.9
BLUECHIP,5.8,5.8,5.69,5.69,0.11,155113.9,0,0.0,6.38,3.69
NILASPACES,0.0,0.0,0.0,0.0,0.0,386123.6,0,0.0,12.08,7.91
NIRAJISPAT,185.65,0.0,0.0,185.65,0.0,455.5,100.0,0.0,185.81,185.65
NITCO,85.68,86.53,84.8,85.98,-0.3,303044.2,75.66,0.0,88.55,70.42
WOCKPHARMA,960.0,995.0,955.55,990.3,-30.3,229548.5,0,0.0,990.70,"1,000.50"
NETWORK18,90.21,91.88,89.33,90.11,0.1,2360574.1,27.7,0.0,99.92,78.17
PANACEABIO,347.5,367.27,338.3,349.79,-2.29,1239153.8,40.61,0.0,349.79,131.57
PANACHE,0.0,0.0,0.0,0.0,0.0,4401.1,0,0.0,181.24,117.37
PARASPETRO,0.0,0.0,0.0,0.0,0.0,411723.4,0,0.0,4.41,3.46
ORIENTALTL,0.0,0.0,0.0,0.0,0.0,182957.8,0,0.0,19.04,10.3
ORIENTBELL,370.25,370.25,364.95,369.65,0.6,9252.4,67.6,0.0,429.35,358.55
ORIENTLTD,108.03,113.9,107.42,111.67,-3.64,176772.5,43.24,0.0,117.75,92.27
ORIENTPPR,47.47,47.84,47.05,47.44,0.03,919189.8,52.9,0.0,60.7,45.92
BUTTERFLY,1096.0,1154.95,1094.2,1113.25,-17.25,87759.3,23.54,0.0,991.85,"1,046.90"
MEDIASSIST,664.55,684.3,656.95,676.55,-12.0,917601.3,45.09,0.0,692.9,522.85
CAPITALSFB,298.5,302.05,298.0,302.55,-4.05,81966.5,71.32,0.0,360.2,292.3
CCHHL,21.1,21.35,20.5,20.93,0.17,111939.5,0,0.0,29.51,17.17
CELEBRITY,17.43,18.64,17.3,18.34,-0.91,420135.8,70.93,0.0,20.16,16.18
MANORG,0.0,0.0,0.0,0.0,0.0,26062.6,0,0.0,693.95,359.35
MANUGRAPH,26.85,27.99,26.2,25.84,1.01,145170.8,32.87,0.0,27.97,20.32
MARALOVER,78.0,79.57,77.5,77.27,0.73,44028.0,61.36,0.0,85.58,68.83
MTNL,54.68,56.47,54.45,56.04,-1.36,4794576.8,47.4,0.0,97.08,40.14
MUFTI,206.5,208.39,201.99,204.04,2.46,287984.1,61.19,0.0,225.43,154.29
MUKKA,43.57,45.15,43.3,44.23,-0.66,850358.6,69.15,0.0,54.22,33.8
MUKTAARTS,82.78,84.26,79.81,80.64,2.14,43363.3,66.81,0.0,83.95,68.18
MUTHOOTMF,229.8,232.59,224.62,231.68,-1.88,196482.9,53.76,0.0,250.52,214.94
BTML,0.0,0.0,0.0,0.0,0.0,108608.0,0,0.0,15.81,12.09
BURNPUR,7.01,7.16,6.99,7.01,0.0,181371.4,0,0.0,12.36,6.36
JNKINDIA,694.95,703.0,685.0,687.4,7.55,23995.5,0,0.0,882.65,687.4
CAMLINFINE,106.57,109.64,105.75,105.73,0.84,790385.0,43.05,0.0,122.59,101.01
MOL,104.0,107.44,103.37,105.88,-1.88,2161515.2,37.29,0.0,110.32,79.08
MOTISONS,278.8,287.9,255.01,256.99,21.81,6559054.0,35.97,0.0,279.24,141.69
MINDTECK,418.95,0.0,0.0,0.0,418.95,41352.1,0,0.0,446.45,297.95
MIRCELECTR,25.58,26.49,25.21,26.06,-0.48,536802.5,0,0.0,32.03,20.08
MITCON-RE,0.0,0.0,0.0,0.0,0.0,68853.9,0,0.0,56.76,46.43
MODIRUBBER,136.05,141.0,134.65,140.87,-4.82,46851.2,0,0.0,154.54,94.58
NEXTMEDIA,8.0,8.01,7.71,8.01,-0.01,24759.2,0,0.0,9.14,6.63
NGIL,37.0,38.5,37.0,38.0,-1.0,40710.1,22.11,0.0,45.63,37.12
NIBL,37.44,38.58,36.52,38.35,-0.91,200755.1,78.87,0.0,46.16,34.59
NAVKARCORP,137.55,141.76,137.55,139.77,-2.22,912000.7,59.27,0.0,161.05,101.96
NDTV,192.2,195.7,192.1,194.74,-2.54,165111.0,44.22,0.0,227.54,192.33
BORORENEW,498.3,504.7,494.6,501.6,-3.3,476350.1,44.91,0.0,560.2,473.4
DNAMEDIA,5.96,0.0,0.0,0.0,5.96,88822.4,0,0.0,8.48,4.89
FELDVR,5.66,5.67,5.29,5.49,0.17,13150.4,0,0.0,6.45,5.1
FILATFASH,1.08,0.0,0.0,0.0,1.08,22146254.6,0,0.0,9.97,1.08
ESSARSHPNG,40.4,41.5,40.0,40.98,-0.58,194450.6,0,0.0,71.54,40.13
ESTER,171.0,172.99,166.0,165.52,5.48,1845302.5,22.77,0.0,172.24,107.07
GPTHEALTH,186.0,194.7,185.7,190.31,-4.31,1190950.6,38.7,0.0,196.62,150.28
GMRINFRA,93.85,96.3,93.68,95.68,-1.83,31054773.2,43.31,0.0,101.73,90.89
GODIGIT,359.8,376.0,356.0,371.25,-11.45,790010.6,62.71,0.0,393.6,321.0
GODREJCP,1435.0,1464.65,1426.25,1459.4,-24.4,1426033.1,40.70,0.0,"1,516.70","1,356.85"
GILLANDERS,85.04,87.0,84.41,85.12,-0.08,8963.4,68.01,0.0,105.0,82.66
GINNIFILA,30.68,31.77,30.68,31.11,-0.43,396583.5,59.46,0.0,33.78,29.54
GLENMARK,1642.4,1719.25,1623.1,1713.0,-70.6,963882.1,51.72,0.0,"1,753.70","1,213.35"
GLFL,7.18,0.0,0.0,0.0,7.18,2237.3,0,0.0,10.13,6.9
GLOBALVECT,283.75,298.45,280.75,295.5,-11.75,24053.5,0,0.0,317.15,203.79
GLOSTERLTD,768.0,779.9,767.0,766.85,1.15,2724.2,70.54,0.0,849.25,761.65
FEL,0.88,0.88,0.88,0.87,0.01,302708.2,0,0.0,0.92,0.74
DOLATALGO,162.7,176.28,160.0,169.79,-7.09,1130436.9,49.01,0.0,182.32,123.55
DOMS,2809.8,2869.9,2779.0,2812.1,-2.3,183245.2,35.34,0.0,"2,841.70","1,954.85"
DREDGECORP,858.95,869.9,834.1,845.35,13.6,43809.4,0,0.0,977.30,"1,017.30"
GEPIL,404.0,420.0,400.0,416.25,-12.25,77814.0,0,0.0,634.9,392.0
GANDHAR,208.7,215.66,206.71,214.3,-5.6,306036.8,56.67,0.0,228.34,202.23
HCL-INSYS,17.97,18.47,17.71,18.34,-0.37,1172294.8,64.66,0.0,18.87,15.55
GTECJAINX,60.0,60.0,58.65,58.68,1.32,5002.2,0,0.0,84.89,58.68
GTLINFRA,2.51,2.54,2.45,2.45,0.06,96269966.1,30.96,0.0,4.13,2.35
GUJALKALI,830.0,853.0,825.55,846.85,-16.85,301460.6,49.8,0.0,846.85,720.8
GVKPIL,7.28,7.28,7.28,7.14,0.14,552136.2,0,0.0,11.53,4.62
DICIND,742.0,0.0,0.0,0.0,742.0,2826.0,0,0.0,762.65,508.0
DIGIDRIVE,51.21,51.21,50.62,48.78,2.43,44064.8,0,0.0,53.12,32.0
DIGJAMLMTD,87.79,88.06,85.0,88.06,-0.27,1672.5,0,0.0,91.0,78.5
VIJIFIN,2.46,0.0,0.0,0.0,2.46,87908.5,0,0.0,3.43,2.0
XELPMOC,124.1,129.99,124.01,126.42,-2.32,71238.9,51.08,0.0,133.69,105.53
YATRA,137.7,141.59,137.11,139.43,-1.73,314902.0,50.94,0.0,149.82,121.27
EUROTEXIND,15.45,16.45,15.29,15.67,-0.22,6162.1,82.3,0.0,16.48,13.0
YAARI,12.73,12.99,12.2,12.7,0.03,116686.5,0,0.0,13.66,8.89
WALCHANNAG,307.95,318.9,303.05,315.5,-7.55,286792.3,59.89,0.0,418.89,224.12
WEBELSOLAR,1019.0,1075.0,996.9,1048.85,-29.85,195883.1,0,0.0,988.10,"1,010.10"
WEWIN,0.0,0.0,0.0,0.0,0.0,5363.6,0,0.0,82.04,69.1
ADANIENSOL,979.8,993.0,977.0,989.0,-9.2,1570728.4,57.83,0.0,999.20,"1,001.20"
VISAKAIND,108.0,109.6,107.1,108.46,-0.46,249148.8,53.34,0.0,121.44,104.74
VIVIDHA,1.07,1.09,1.05,1.07,0.0,1082680.4,74.40,0.0,1.36,1.01
VLEGOV,140.93,145.4,136.0,139.79,1.14,3762805.1,37.70,0.0,142.9,63.23
VMART,3562.5,3670.0,3550.0,3595.7,-33.2,15759.9,41.68,0.0,"3,704.75","2,753.90"
VRAJ,250.8,258.0,240.45,242.64,8.16,1426897.1,29.14,0.0,264.6,211.83
VSTL,253.9,264.8,245.25,256.65,-2.75,27487.4,0,0.0,290.8,240.05
DIL,5.94,5.98,5.9,5.94,0.0,575866.1,62.5,0.0,7.94,5.91
VIKASLIFE,4.55,4.63,4.51,4.62,-0.07,7659044.5,56.77,0.0,5.84,4.55
ZEEMEDIA,12.75,13.09,12.7,12.92,-0.17,3836896.0,42.78,0.0,15.66,12.37
GAYAPROJ,0.0,0.0,0.0,0.0,0.0,597563.5,0,0.0,9.55,6.33
FLAIR,317.3,326.95,315.25,323.05,-5.75,217157.3,64.65,0.0,331.2,289.75
FLEXITUFF,85.0,88.3,82.5,85.38,-0.38,81600.4,0,0.0,90.72,29.21
FLFL,2.27,2.35,2.26,2.35,-0.08,52493.2,0,0.0,2.82,2.21
FMNL,11.67,0.0,0.0,0.0,11.67,58032.4,0,0.0,14.18,6.05
FOCUS,105.18,0.0,0.0,0.0,105.18,139117.8,0,0.0,154.11,82.04
FORCEMOT,6912.2,7095.7,6912.2,7060.4,-148.2,33989.4,53.98,0.0,"9,486.85","6,937.60"
FSC,2.49,2.53,2.36,2.47,0.02,208007.9,0,0.0,3.99,2.46
DTIL,262.44,267.15,255.11,262.39,0.05,31452.3,56.56,0.0,275.12,206.06
FCSSOFT,3.62,3.67,3.61,3.64,-0.02,4599786.1,61.15,0.0,4.28,3.59
FEDFINA,119.64,123.01,119.01,122.67,-3.03,439170.0,67.12,0.0,129.36,116.9
DAVANGERE,7.56,7.72,7.35,7.31,0.25,7941542.6,48.65,0.0,9.67,6.59
DCI,0.0,0.0,0.0,0.0,0.0,9999.6,0,0.0,456.9,223.96
DCMFINSERV,9.2,0.0,0.0,0.0,9.2,3733.2,0,0.0,12.04,5.69
DCMNVL,216.78,222.0,215.1,218.38,-1.6,12398.6,0,0.0,280.7,208.25
DEEDEV,315.95,322.7,314.05,320.55,-4.6,167877.1,60.63,0.0,382.0,314.85
DEEPENR,290.0,299.0,280.0,289.09,0.91,113432.4,0,0.0,333.49,164.34
IDEA,12.9,13.16,12.83,13.12,-0.22,495618481.6,39.55,0.0,18.52,12.9
IEL,12.7,13.17,12.63,12.93,-0.23,238700.6,0,0.0,14.42,9.83
IFBAGRO,577.3,601.0,575.0,584.4,-7.1,2655.0,0,0.0,610.6,450.3
IRIS,0.0,0.0,0.0,0.0,0.0,29008.4,0,0.0,298.0,206.86
ISMTLTD,0.0,0.0,0.0,0.0,0.0,990636.3,42.37,0.0,149.07,120.19
ITI,283.3,289.6,282.0,287.45,-4.15,844765.0,30.64,0.0,319.1,279.85
IXIGO,151.65,156.45,151.53,152.65,-1.0,814008.8,37.81,0.0,184.86,150.73
IZMO,467.0,0.0,0.0,0.0,467.0,50949.4,0,0.0,533.4,316.05
DANGEE,8.69,9.0,8.4,8.77,-0.08,1379151.4,39.93,0.0,8.77,6.88
DCAL,193.01,201.08,192.3,200.88,-7.87,825790.8,47.26,0.0,205.97,159.08
IREDA,227.37,233.33,227.0,227.74,-0.37,14405281.4,24.48,0.0,289.65,175.78
INDTERRAIN,58.97,61.2,58.12,58.93,0.04,222467.6,32.07,0.0,78.92,56.3
INNOVACAP,809.2,814.5,794.95,803.1,6.1,149531.8,48.5,0.0,805.75,496.35
INOXINDIA,1139.9,1187.0,1135.6,1152.25,-12.35,265788.0,56.07,0.0,"1,459.10","1,138.50"
INDIASHLTR,739.2,739.4,722.0,726.65,12.55,706607.5,57.78,0.0,791.7,699.35
INDORAMA,51.8,54.8,51.0,52.86,-1.06,2033026.0,35.13,0.0,58.61,42.91
KAVVERITEL,38.46,0.0,0.0,0.0,38.46,17109.5,0,0.0,42.58,18.8
KAYA,470.0,484.75,465.0,483.0,-13.0,16612.1,0,0.0,698.65,430.5
JUNIPER,381.4,386.8,380.3,386.05,-4.65,105168.4,61.23,0.0,483.35,376.35
JYOTICNC,1178.5,1223.55,1173.95,1200.05,-21.55,154801.9,60.85,0.0,"1,358.90","1,067.85"
KAKATCEM,224.5,228.55,222.3,226.98,-2.48,12575.4,77.04,0.0,254.53,216.27
CREATIVEYE,6.37,6.55,6.03,6.35,0.02,14216.5,0,0.0,7.8,5.39
CTE,0.0,0.0,0.0,0.0,0.0,7792.1,0,0.0,144.43,90.97
DHANI,50.25,51.51,50.0,51.26,-1.01,2661864.2,45.61,0.0,62.44,48.12
DISHTV,13.8,13.91,13.73,13.81,-0.01,10559357.6,38.56,0.0,16.25,13.8
DJML,0.0,0.0,0.0,0.0,0.0,91363.1,0,0.0,363.95,102.2
GREAVESCOT,181.2,192.7,181.01,186.21,-5.01,5185094.8,31.33,0.0,188.74,129.86
GOENKA,1.23,1.23,1.21,1.18,0.05,410717.5,0,0.0,1.33,0.86
GOLDTECH,108.5,115.19,108.5,111.93,-3.43,133816.8,64.59,0.0,149.88,108.7
GOPAL,352.0,360.0,339.0,340.25,11.75,564480.2,36.77,0.0,357.95,321.55
HTMEDIA,24.49,24.59,24.26,24.37,0.12,261883.2,53.6,0.0,28.99,24.07
HUBTOWN,281.0,286.35,275.0,272.75,8.25,181533.2,0,0.0,286.24,142.89
ICDSLTD,0.0,0.0,0.0,0.0,0.0,564.2,0,0.0,44.37,34.3
HMT,84.1,90.0,84.0,88.3,-4.2,35677.5,0,0.0,100.36,56.73
HIL,2916.0,2945.4,2874.05,2913.65,2.35,16207.0,45.7,0.0,"3,099.30","2,683.55"
DELHIVERY,426.1,427.9,423.05,425.4,0.7,1722146.2,79.4,0.0,438.2,374.3
DELPHIFX,260.7,0.0,0.0,0.0,260.7,10062.9,0,0.0,263.7,202.12
DELTAMAGNT,95.7,98.07,95.1,97.54,-1.84,124318.0,64.01,0.0,109.5,86.2
NKIND,52.1,55.78,52.06,54.63,-2.53,1619.8,53.88,0.0,61.68,48.71
DHRUV,0.0,0.0,0.0,0.0,0.0,9729.7,0,0.0,151.48,102.47
HEADSUP,15.0,16.37,14.5,15.73,-0.73,579968.5,50.83,0.0,16.66,11.25
HEMIPROP,190.05,193.37,189.51,192.45,-2.4,437755.8,64.09,0.0,235.9,188.35
HAPPYFORGE,1211.0,1225.0,1202.5,1213.8,-2.8,23163.8,58.07,0.0,"1,277.85","1,158.50"
HARRMALAYA,232.05,237.9,227.85,235.34,-3.29,41762.7,0,0.0,258.55,198.91
HAVISHA,2.32,2.38,2.31,2.32,0.0,75564.9,85.92,0.0,2.65,2.27
INDOTHAI,0.0,0.0,0.0,0.0,0.0,61613.2,0,0.0,686.0,249.45
IITL,261.0,0.0,0.0,0.0,261.0,49671.7,0,0.0,265.0,168.85
IL&FSENGG,0.0,0.0,0.0,0.0,0.0,109299.7,0,0.0,40.01,19.36
IL&FSTRANS,0.0,0.0,0.0,0.0,0.0,25258.4,0,0.0,8.62,5.19
IMPEXFERRO,3.91,4.0,3.75,3.86,0.05,37625.7,0,0.0,4.46,3.1
INDGN,657.25,686.0,655.0,680.85,-23.6,1583750.1,61.59,0.0,705.65,538.35
INDIACEM,369.85,374.75,367.5,368.75,1.1,1362034.4,39.6,0.0,374.05,218.6
TIRUMALCHM,335.4,347.5,334.25,345.05,-9.65,385217.2,38.15,0.0,352.8,293.45
SUVIDHAA,5.4,5.55,5.4,5.46,-0.06,238423.0,66.29,0.0,6.68,5.2
SVPGLOB,7.11,7.3,7.01,7.15,-0.04,116970.8,63.26,0.0,8.32,6.23
SWSOLAR,712.9,745.6,708.0,733.25,-20.35,1336184.3,56.79,0.0,750.3,611.6
TAKE,20.28,20.65,17.95,17.83,2.45,341934.7,45.61,0.0,22.16,17.83
ANIKINDS,0.0,0.0,0.0,0.0,0.0,27872.3,0,0.0,95.24,50.25
ANKITMETAL,0.0,0.0,0.0,0.0,0.0,123146.8,0,0.0,5.21,3.61
ANMOL,31.4,0.0,0.0,0.0,31.4,37766.9,0,0.0,37.37,30.58
ANSALAPI,13.48,13.48,12.9,12.84,0.64,158854.6,0,0.0,13.48,8.89
ANTGRAPHIC,2.32,0.0,0.0,0.0,2.32,1750228.0,0,0.0,2.47,1.41
APCL,172.6,180.39,167.82,178.07,-5.47,21205.9,60.22,0.0,208.3,170.76
SUPERSPIN,11.91,11.91,11.0,11.35,0.56,525728.4,56.46,0.0,11.91,7.91
SUPREMEENG,3.11,0.0,0.0,0.0,3.11,2220019.0,0,0.0,3.26,1.13
SUPREMEINF,87.6,0.0,0.0,0.0,87.6,71366.3,0,0.0,111.45,64.62
SURAJEST,780.0,810.0,774.0,774.9,5.1,178549.8,0,0.0,817.85,419.3
TATAMTRDVR,0.0,0.0,0.0,0.0,0.0,8109329.3,80.79,0.0,793.0,639.2
TECILCHEM,23.66,0.0,0.0,0.0,23.66,567.0,0,0.0,39.08,18.63
TGBHOTELS,15.15,15.55,15.11,15.25,-0.1,146030.1,59.98,0.0,17.85,14.84
TATASTEEL,150.55,152.98,149.61,152.82,-2.27,36171522.2,34.11,0.0,182.28,146.17
TATATECH,1065.9,1086.85,1062.1,1080.3,-14.4,3869856.1,51.01,0.0,999.65,"1,000.50"
TBOTEK,1775.0,1807.7,1746.0,1773.4,1.6,47138.4,50.6,0.0,"1,928.60","1,574.75"
TCIFINANCE,13.27,13.27,13.22,12.64,0.63,18379.1,0,0.0,17.58,11.25
TCLCONS,45.06,45.88,43.7,43.7,1.36,29103.1,0,0.0,58.87,38.7
TCNSBRANDS,0.0,0.0,0.0,0.0,0.0,1269292.7,69.9,0.0,608.15,527.65
TECHIN,46.17,0.0,0.0,0.0,46.17,17508.7,0,0.0,46.17,23.48
ALOKINDS,25.7,26.15,25.44,25.69,0.01,18723279.3,21.91,0.0,29.52,24.91
ALPSINDUS,3.65,0.0,0.0,0.0,3.65,25755.1,0,0.0,4.56,2.95
TARACHAND,387.0,408.0,385.0,390.5,-3.5,19019.9,62.70,0.0,493.85,367.45
TARAPUR,0.0,0.0,0.0,0.0,0.0,47072.6,0,0.0,23.5,11.27
TARC,236.0,243.99,234.8,239.64,-3.64,383456.5,0,0.0,244.5,189.49
SUULD,5.09,5.14,5.01,5.1,-0.01,184494.9,0,0.0,7.09,4.75
SPENCERS,97.27,98.95,95.0,98.07,-0.8,648034.2,52.47,0.0,111.34,77.58
SMSLIFE,1519.0,0.0,0.0,0.0,1519.0,1768.6,0,0.0,967.10,"1,133.25"
SOLARA,739.0,764.9,736.25,742.95,-3.95,70737.0,0,0.0,784.1,420.3
ARSHIYA,0.0,0.0,0.0,0.0,0.0,294508.9,0,0.0,5.56,4.27
ARSSINFRA,19.64,19.88,18.31,19.05,0.59,10043.6,0,0.0,23.95,17.99
SIGNPOST,229.15,232.33,228.3,227.83,1.32,123603.8,65.7,0.0,290.05,215.94
OSIAHYPER,43.6,0.0,0.0,0.0,43.6,511560.1,0,0.0,43.6,22.14
SINCLAIR,103.0,103.51,101.61,102.58,0.42,41755.3,70.7,0.0,117.08,98.68
SITINET,0.87,0.87,0.87,0.89,-0.02,2222376.0,0,0.0,1.12,0.63
SHREERAMA,0.0,0.0,0.0,0.0,0.0,122219.8,0,0.0,32.37,25.38
SHRENIK,0.0,0.0,0.0,0.0,0.0,532347.3,0,0.0,1.39,0.72
SHREYAS,308.35,315.3,297.3,300.05,8.3,36848.3,52.26,0.0,402.05,300.05
SURANASOL,43.15,44.9,42.02,43.99,-0.84,1335281.4,63.10,0.0,45.84,35.27
SUTLEJTEX,72.75,74.84,71.75,72.37,0.38,649618.0,34.1,0.0,74.97,58.21
TARMAT,92.77,92.77,92.77,88.36,4.41,25790.4,0,0.0,101.82,71.93
SUVEN,155.7,169.3,154.4,157.11,-1.41,623105.8,30.69,0.0,164.66,96.62
SUMEETINDS,3.44,3.44,3.25,3.28,0.16,289092.3,0,0.0,5.19,2.0
SUMIT,152.17,0.0,0.0,0.0,152.17,53842.4,0,0.0,152.38,75.01
SUNCLAY,2390.0,2550.0,2387.45,2537.55,-147.55,76631.8,52.28,0.0,"2,537.55","1,529.10"
SUNDARAM,2.93,2.96,2.88,2.92,0.01,614164.4,0,0.0,3.83,2.9
ARCHIES,30.11,31.75,29.5,31.23,-1.12,682241.0,60.78,0.0,34.37,24.66
